id,state,title,topic,status,text_status,text,route,milepost,county,source_agency,source_url,lat,lon
MT-24,MT,A Passage Through Time: the Jefferson River Canyon,Geology / natural history,fair,official,"The four-mile long Jefferson River Canyon was cut into the Tobacco Root Mountains between LaHood Park and Lewis and Clark Caverns State Park relatively recently in geologic time. The canyon exposes rocks that span over a billion years of geologic history. The rocks indicate times when the area was covered by shallow seas in which fine-grained sediment was deposited, and other times when rocks were exposed and eroded. The rocks also record times of volcanic activity and when stresses in the earth caused rocks to contort into folds or break into complex and significant faults. Entering the canyon from the east will take you backward in time. Most of the rocks at the east end of the canyon are sedimentary and volcanic rocks from the age of dinosaurs and younger. Gray cliffs of Madison limestone mark the entrance to the canyon, and form its walls for about a mile and a half to the west. Lewis and Clark Caverns developed in this limestone. A short distance beyond a northward bend in the highway, a steeper canyon is developed in dark-colored rocks of the La- Hood Formation that are much older than a billion years. In the outcrops of the LaHood Formation, chunks of a lighter-colored rock as much as 100-feet long are apparent within the dark rock of the canyon walls. They are boulders that broke off an ancient cliff produced by a major fault. A Brief History: After much political wrangling and public comments by citizens in Three Forks and Whitehall, the Montana Department of Transportation rerouted US Highway 10 through the Jefferson Canyon in 1928. Prior to that, the old highway bypassed the canyon. The new road was difficult to build and engineers used dynamite to blast a route for it through the rocks. When completed in 1930, the highway was one of the most scenic routes in Montana. Bypassed by Interstate 90 in 1968, this highway still retains many of the design features common to Great Depression-era roads and is a unique driving experience.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.823319,-111.857859
MT-25,MT,Join the Voyage of Discovery,Lewis & Clark,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.83628,-113.979293
MT-26,MT,The Ice Ages,Geology / natural history,excellent,official,"For thousands of years, northern Montana was covered under a massive ice sheet. Glaciologists aren't sure why the ice ages began, but the process of glaciation is known because of the mark it leaves on the landscape. About 190,000 years ago, glaciers pushed their way onto the northern Great Plains of Montana from the north and northeast. This area was near the southern extent of the glacial ice sheet, so the ice depth was thinner than it was further to the north. As the glacier moved south, it blocked the Missouri River, forcing it to seek an ice-free channel farther to the south. The ice sheet lasted until about 130,000 years ago when it melted away. The ice left behind a radically changed landscape, dotted with small ponds and glacial till. Large boulders, called erratics, now litter the plains in this area along with extensive gravel beds. The glacier deposited the material as it moved across the landscape or it was deposited after the ice sheets melted. Some of the erratics came from as far away as northern Manitoba or were torn from rock outcrops west of Lake Winnipeg. The Missouri River never returned to its original channel, instead it is now occupied by the Milk River between Havre and Wolf Point. About 25,000 years ago, the Wisconsin ice sheet pushed south into northeastern Montana, but the highlands to the northwest diverted the glaciers to the east and west, leaving a large ice-free pocket between Glasgow and Hinsdale. The Wisconsin ice sheet retreated from Montana about 11,000 to 8,000 years ago. A Brief History : In 1919, motorists called US 2 the Theodore Roosevelt International Highway. Promoted as ""the most wonderful Highway in all America,"" the road in Montana was a series of interconnected rutted county roads that became gumbo mud when wet. Despite the hazards, the route was a popular one with motorists in the early days of automobile travel.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.369957,-106.79263
MT-27,MT,Berne Roadside Park,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.385595,-114.10256
MT-28,MT,The Cattle Drive of 1866,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.735777,-109.756346
MT-29,MT,Shields River Valley,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.005681,-110.662716
MT-30,MT,The Fort Union Formation and the Ice Age,Geology / natural history,good,official,"The Fort Union Formation was deposited not long after the dinosaur extinction, about 65 million years ago. Rivers originating in mountains to the west and south carried abundant sediment to the nearby shallow inland sea to the east, crossing the subtropical, swampy coastal plain of eastern Montana on their way. As the rivers shifted, the swamp vegetation and peat were covered with thick deposits of sand, silt, and clay. In time, it compacted to form coal. The sand, silt, and clay cemented and compacted into sandstone, siltstone, and mudstone. Eastern Montana has an estimated 200 billion tons of coal that developed from the vegetation of these swamps. Geologists classify much of the coal buried in northeastern Montana as lignite, which has a low energy content. Most of the coal is buried under layers of the soft rock in the Fort Union Formation, but is locally exposed in hills and road cuts. The scattered red rock of the Fort Union Formation is clinker. Clinker forms when lightning strikes, wildfires, or spontaneous combustion causes the coal to ignite and burn. The intense heat of the burning coal bakes the adjacent sedimentary layers creating the dense, hard red rock.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.770992,-104.540126
MT-31,MT,"Hurry, Honyucker, Hurry!",History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.564924,-109.548032
MT-32,MT,Jedediah Smith,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.219176,-107.25162
MT-33,MT,"The Long, Long Trail",History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.469733,-107.549303
MT-34,MT,The Salish and Pend D'oreille People and,Native American,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,47.13709,-114.043537
MT-35,MT,The Beartooth Plateau,OTHER,poor,official,"The Beartooth Plateau contains some of the oldest exposed rocks on Earth and provides a unique window into the history of our planet. About 55 million years ago, this massive block of metamorphic basement rock pushed its way upward nearly two miles along steep faults that extend deep into the Earth. The exposed rock consists of coarse-grained gray and pink granites, gneisses, and schists that formed about 3.3 billion years ago when older sedimentary and volcanic rocks were heated and recrystallized deep in the Earth at extremely high temperatures. The plateau contains the oldest exposed rocks in Montana and they are among the oldest on Earth. The Stillwater Complex on the plateau's northern flank is one of the world's major sources of chromite, platinum, and palladium. During the ice ages, about 100,000 years ago, the Beartooth Plateau collected enough snow for glaciers to form and cover most of the plateau to a depth of several thousand feet. The spreading glaciers wore down the plateau's upper surface to leave the distinctively rounded rock outcrops, along with hundreds of lakes, ponds, and depressions. They flowed down old stream valleys, leaving them deepened and straightened, with vertical canyon walls and jagged peaks. The summit of the plateau is alpine tundra. A Brief History: Although these mountains were crisscrossed by trails used by Native Americans since prehistory, it was not until the 20th century that many sought a permanent route over the mountains from Red Lodge to Yellowstone National Park. As the Red Lodge coal mines closed, Red Lodge businessmen lobbied Montana's congressional delegation to construct a road between their community and the Park. In 1931, President Herbert Hoover signed the Park Approach Act into law, which funded the construction of scenic routes to the country's national parks through federally-owned land. Construction of the $2.5 million project began in 1932. Some 100 workers employed by five companies blasted their way up the side of the 11,000-foot plateau. The workmen gave names to many features of the road that are still used today, including Lunch Meadow, Mae West Curve and High Lonesome Ridge. The road officially opened on June 14, 1936. Today, the road looks much as it did in 1936 and provides motorists an excellent opportunity to experience one of the few North American highways reaching such spectacular high-elevation alpine scenery.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.177624,-109.247697
MT-36,MT,Big Sky Country,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.421768,-105.397079
MT-37,MT,Over a Billion Ayears of Montana’s Geologichistory,Geology / natural history,fair,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.57684,-112.280735
MT-38,MT,The 564th Missile Squadron,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.321391,-112.542377
MT-39,MT,Fort Assiniboine,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.507494,-109.798633
MT-40,MT,Early Day Outlaws,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.368969,-107.965274
MT-42,MT,The Jefferson Valley,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.595536,-112.317359
MT-43,MT,Survival,Lewis & Clark,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.836272,-113.979362
MT-44,MT,Fort Owen,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.525807,-114.113107
MT-45,MT,Rosebud Creek,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.280204,-106.474976
MT-46,MT,Robber's Roost,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.392662,-112.146491
MT-47,MT,The Flight of the Nez Perce,Native American,fair,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.746313,-114.17255
MT-48,MT,"Columbus, Ho! for the States!",History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.600722,-109.065734
MT-49,MT,An Island on the Plains,Geology / natural history,good,official,"Fifty-five to thirty-four million years ago, volcanoes erupted in several areas of central Montana. The upwelling of magma which fed these volcanoes was largely responsible for the Bears Paw Uplift and for several other isolated mountain ranges in central Montana. In some places, as the molten rock pushed its way upward toward the surface, it up-arched the layered rocks above it to form a magma dome called a laccolith. In other places, the magma rose vertically to form dikes. The dikes now look like old fallen-down stone walls protruding up through the grass of the ranchlands. Some of the magma crystallized into shonkinite, a rare rock, named for exposures near the town of Shonkin, Montana. Some of the laccoliths eroded to form large buttes, the most prominent are Square Butte northeast of Box Elder and Centennial Mountain northeast of Big Sandy. While the mountains were rising, an east-west rift developed near the crest, and rocks slid both to the north and south on Cretaceous marine shales. The sliding produced many faults in the adjacent Great Plains. The faults south of the mountains are especially prominent; while most of those to the north are covered by glacial deposits. A Brief History: It is not known how the mountain range got its name. According to one legend, many generations ago, an Indian man killed a deer while hunting in the mountains. Before he could return to his camp, he encountered a bear, which knocked him down and pinned him to the ground. The hunter appealed to the Great Spirit for help, who answered by filling the heavens with lightning and thunder, which killed the bear and severed its paw, releasing the hunter. Or perhaps one of the range's mountains resembles a bear's paw and gave the mountain range its name. Another tale states that to Indians looking down from the summit of one of the peaks, the ridges spread out below them resembled a bear's paw.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.179412,-110.111641
MT-51,MT,Many Cultures Forged Strong Communities,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.875036,-113.885511
MT-52,MT,Cattle Brands,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.2613,-106.27937
MT-53,MT,The Great Highway of the Northwest: the Yell Tr,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.063268,-107.709038
MT-54,MT,Camp Cooke First Military Post in Montana,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,47.726013,-109.634713
MT-55,MT,Emigrant Gulch,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.335463,-110.770106
MT-56,MT,Brockway Montana,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,47.302523,-105.767928
MT-58,MT,The Little Rocky Mountains,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,47.795716,-108.633421
MT-59,MT,Kootenai River and the Belt Supergroup,Geology / natural history,good,official,"The canyon along the Kootenai River exposes rocks of the Belt Supergroup, which consists of sandstones, called quartzites, and thin layers of hard mudstones or shales. These rocks form most of the outcrops along the highway from east of Libby to the Idaho border. In this area, the rocks are slightly folded so that the river cascades over the inclined hard quartzite beds in the stair-step-like falls. Individual folds may be seen in the north-facing road cut just south of Highway 2, southwest of the parking lot. Another fold may be seen north of the river. These folds resulted from east-west tectonic compression that caused north-to-south trending folds and faults throughout western Montana about 50 to 100 million years ago. When the rocks belonging to the Belt Supergroup were deposited about 1.5 billion years ago during the Precambrian Era, much of western Montana was covered by shallow seas or lakes surrounded by very flat shores. Sediments in the water deposited thin beds of sand, mud, and calcium carbonate. The surfaces of the rocks often display mud cracks, ripple marks, and the spatter marks of raindrops. These structures can be found in outcrops along the Kootenai River, and indicate that the water covering the area was shallow, and occasionally, completely dried up. Algae mats often trapped fine particles of calcium carbonate to form rounded structures called stromatolites. Near the river below Swinging Bridge are wonderful examples of stromatolites. Belt rocks dominate the mountains of northwestern Montana. The rocks along US Highway 2 between the Idaho border and the Continental Divide south of Glacier National Park consist almost entirely of the Belt Supergroup. The rocks next to the highway are brown, gray, red, green, purple, and yellow colors; dramatic cliffs occur where resistant, well-cemented sandstones are exposed.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.45274,-115.768942
MT-60,MT,The Lolo Trail,Lewis & Clark,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.756915,-114.085246
MT-61,MT,Fort Musselshell,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.989821,-107.859415
MT-62,MT,Paleocene Mammals and Albert Silberling,Geology / natural history,good,official,"The town of Harlowton is located in the Fort Union Geological Formation, which was created about 65 million years ago, shortly after the dinosaur extinction. This once shallow inland sea was formed from rivers originating in the southwestern mountain slopes of Montana. These rivers transferred and deposited sediment collected from the swampy, subtropical eastern coastal plains into the shallow sea. As the rivers shifted over time, swamp vegetation and peat were covered with thick deposits of sand, silt, and clay, which would later form coal. These deposits cemented and compacted into sandstone, siltstone, and mudstone—soft materials that easily erode—leaving few outcrops of more weather-resistant rocks. The area surrounding Harlowton is also famous for its Paleocene fossils. In 1902, Princeton University paleontologist Earl Douglass and Albert Silberling, a local homesteader and self-taught paleontologist, discovered the fossil remains of primitive mammals in a quarry southwest of Harlowton. Paleontologists excavated that quarry and three others over the next four decades and these sites yielded the remains of at least 23 species, including a squirrel-like animal called Ptilodus, the most successful of all mammals. Ptilodus first appeared during the middle Jurassic Age about 160 million years ago and became extinct about 35 million years ago. It coexisted with massive sauropods, such as the Apatosaurus and Diplodocus, as well as the meat-eating Allosaurus. During Paleozoic time, Montana’s climate was warm, humid, and possibly densely forested. With its dexterous feet, legs, and tail, Ptilodus was a good climber with a well-developed sense of smell. Teeth recovered in the quarries indicate that it was herbivorous. Other fossils found by Douglass and Silberling include a primitive species of ungulate called Phenacodus, and a primate-like animal called a Plesiadapis, all of which co-existed with the Ptilodus and were preyed upon by Creodonts, the dominant carnivorous animals of the time. Albert Silberling’s excavation of thousands of fossils and his discoveries from quarries in the Harlowton area have greatly contributed to scientists’ knowledge about life in the Paleozoic Era.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.446228,-109.938697
MT-63,MT,The Wahkpa Chu'gn Buffalo Jump,Native American,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.556595,-109.70463
MT-64,MT,Colter’s Run,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.920053,-111.499055
MT-65,MT,Glendive,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,47.105306,-104.740852
MT-66,MT,Glacial Lake Missoula,Geology / natural history,poor,official,"(west-bound) View/Download a PDF of the Road Sign During the last ice age about 15,000 years ago, an enormous glacier pushed down from British Columbia and blocked the Clark Fork River in northern Idaho. The glacier functioned as an ice dam creating the largest glacial lake known to have existed, Glacial Lake Missoula. The lake's waters backed up into the river's drainage in western Montana, creating a body of water comparable to today's Lake Ontario. As the lake filled and water at the ice dam deepened, it caused the lighter glacial ice to float and eventually break up, triggering floods of epic proportions. The water flushed through the Clark Fork drainage west of here enroute to the Pacific Ocean. The torrent scarred the landscape of eastern Washington, creating scablands that still define the landscape. The geologic record indicates that Glacial Lake Missoula filled and emptied on a cyclical basis over a period of about two thousand years. Indeed, the large road cut where the Interstate 90 bridge crosses the Clark Fork River at Nine Mile, ten miles east of here, preserves the record of at least 36 separate fillings of the lake. Other evidence of the glacial floods include ancient ice age shorelines on the mountains around Missoula. A Brief History: In 1860, 150 men under the command of Lieutenant John Mullan carved a wagon road through the colorful Precambrian mudstones on the mountainside north of here. The road took six weeks to construct and required the use of explosives to blast a route through the rocks. Called the Point of Rocks Segment of the Mullan Road, the road still traces its way across the mountainside above here. In 1908, the Chicago, Milwaukee, St. Paul & Pacific (Milwaukee Road) Railroad constructed its transcontinental line through the Clark Fork canyon enroute to Seattle. The railroad also excavated tons of rock to cut its way through these mountains to St. Paul Pass. The old railroad grade, later known as the Route of the Hiawatha for the celebrated passenger train that once used the line, is still evident along the north side of Interstate 90. In 1914, the Yellowstone Trail, blazed by distinctive chrome yellow signs with black arrows, passed through this canyon. The trail became U.S. Highway 10 in 1926. Interstate 90 bypassed it here in 1963.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,47.02083,-114.520165
MT-67,MT,The Judith River Formation,Geology / natural history,good,official,"In 1855, geologist Ferdinand V. Hayden explored the upper Missouri River for the United States Geological Service. At that time, the area was the hunting ground of the Lakota, Blackfeet, Atsina, and River Crow Indians. A lone white man in Indian Country was often fair game to the tribes, but Hayden's passion for rocks and fossils earned him the name ""He Who Picks Up Stones While Running"" and a reputation for madness. The Indians left him alone. Hayden explored what would later become known as the Judith River Formation, a large area of sedimentary materials deposited in the lowland areas bordering the Colorado Sea during the Late Cretaceous Period 78 to 74 million years ago. During his exploration near the mouth of the Judith River, Hayden collected many fossilized teeth, bones, and shells from the Judith River Formation. He took them to anatomy Professor Joseph Leidy in Philadelphia for identification, who classified the teeth as belonging to a new species of hadrosaur. The teeth and bones were the first dinosaur fossils found in North America. Hayden's discovery drew paleontologists to Montana in search of dinosaur fossils and to the Judith River Formation making it a significant paleontological destination.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,47.742773,-109.627052
MT-68,MT,Junction of Bighorn and Yellowstone Rivers,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.089828,-107.660213
MT-69,MT,The Montana-Utah Road,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,44.631151,-112.588583
MT-70,MT,Jib Mill,History,fair,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.269645,-112.270102
MT-71,MT,Landslide Butte,Geology / natural history,,official,"In 1912 Smithsonian geologist Eugene Stebinger and paleontologist Charles Gilmore came to Blackfeet Country looking for dinosaur remains. Their search took them to a badland area near Landslide Butte, a prominent landform near the Milk River to the east of here. Stebinger named the sandstone and mudstone rock unit the Two Medicine Formation, and determined that it was nearly 2000 feet thick, representing a geological time span from 74 to 80 million years ago. From this formation, Gilmore collected and named 3 new species of dinosaurs. A second paleontological group from the Museum of the Rockies here in Montana, led by Jack Horner, explored this same area from 1985 through 1987, and discovered an additional 4 new species of dinosaurs, including one of the largest dinosaur nesting grounds on earth, covering nearly 6 square miles. In addition, enormous bone beds of duck-billed dinosaurs and horned dinosaurs supported theories that these kinds of dinosaurs traveled in gigantic herds, and may have migrated along the eastern front of the ancient Rocky Mountains. Three of the dinosaurs, known exclusively from this one area, are the horned dinosaurs Rubeosaurus, Einiosaurus, and Achelousaurus, hypothesized to represent an evolutionary sequence of transitional species.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.99328,-112.788223
MT-72,MT,A Monument to Carbon County: the Fromberg Bridge,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.391926,-108.906379
MT-73,MT,Lahood Park,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.853154,-111.922052
